elapsed_s,cpu_percent,ram_mb,ram_percent
180.75,0.8,4169.3,203.6
181.25,1.6,4169.3,203.6
181.75,0.8,4169.3,203.6
182.25,0.9,4169.6,203.6
182.75,0.8,4169.6,203.6
183.25,0.8,4169.6,203.6
183.75,0.9,4169.5,203.6
184.25,1.6,4169.5,203.6
184.75,2.3,4169.4,203.6
185.25,0.8,4169.4,203.6
185.75,0.8,4169.4,203.6
186.25,2.0,4169.4,203.6
186.75,0.8,4169.4,203.6
187.25,0.8,4169.4,203.6
187.76,0.8,4169.4,203.6
188.26,0.8,4169.4,203.6
188.76,0.8,4169.4,203.6
189.26,1.8,4169.6,203.6
189.76,1.9,4169.5,203.6
190.26,0.8,4169.5,203.6
190.76,0.8,4169.5,203.6
191.26,1.9,4169.4,203.6
191.76,0.8,4169.4,203.6
192.26,0.9,4169.4,203.6
192.76,0.8,4169.4,203.6
193.26,0.8,4169.4,203.6
193.76,0.8,4169.4,203.6
194.26,1.5,4169.4,203.6
194.76,2.0,4169.4,203.6
195.27,0.8,4169.4,203.6
195.77,0.8,4169.4,203.6
196.27,2.1,4169.4,203.6
196.77,0.8,4169.4,203.6
197.27,0.8,4169.4,203.6
197.77,0.8,4169.4,203.6
198.27,0.8,4169.4,203.6
198.77,0.8,4169.4,203.6
199.27,2.2,4169.4,203.6
199.77,1.5,4169.4,203.6
200.27,0.8,4169.4,203.6
200.77,0.8,4169.4,203.6
201.27,2.2,4169.4,203.6
201.77,0.8,4169.4,203.6
202.27,0.9,4169.5,203.6
202.78,0.8,4169.5,203.6
203.28,0.8,4169.5,203.6
203.78,1.0,4169.5,203.6
204.28,2.1,4169.5,203.6
204.78,1.7,4169.5,203.6
205.28,0.8,4169.5,203.6
205.78,0.8,4169.5,203.6
206.28,1.3,4169.5,203.6
206.78,0.8,4169.5,203.6
207.28,0.8,4169.5,203.6
207.78,0.8,4169.5,203.6
208.28,0.8,4169.5,203.6
208.78,0.8,4169.5,203.6
209.28,2.1,4169.5,203.6
209.78,1.4,4169.5,203.6
210.29,0.8,4169.5,203.6
210.79,0.8,4169.5,203.6
211.29,2.1,4169.5,203.6
211.79,0.8,4169.5,203.6
212.29,0.9,4169.5,203.6
212.79,0.8,4169.6,203.6
213.29,0.8,4169.5,203.6
213.79,0.8,4169.6,203.6
214.29,1.9,4169.6,203.6
214.79,1.7,4169.6,203.6
215.29,0.8,4169.6,203.6
215.79,0.8,4169.6,203.6
216.29,2.1,4169.6,203.6
216.79,0.8,4169.6,203.6
217.3,0.8,4169.6,203.6
217.8,0.8,4169.6,203.6
218.3,0.8,4169.6,203.6
218.8,0.9,4169.5,203.6
219.3,2.3,4169.5,203.6
219.8,2.3,4169.5,203.6
220.3,0.8,4169.5,203.6
220.8,0.8,4169.5,203.6
221.3,2.2,4169.5,203.6
221.8,0.8,4169.5,203.6
222.3,0.8,4169.5,203.6
222.8,0.8,4169.5,203.6
223.3,0.8,4169.5,203.6
223.8,0.8,4169.5,203.6
224.3,1.8,4169.5,203.6
224.81,1.3,4169.5,203.6
225.31,0.8,4169.5,203.6
225.81,0.8,4169.5,203.6
226.31,2.1,4169.5,203.6
226.81,0.8,4169.5,203.6
227.31,0.8,4169.5,203.6
227.81,0.8,4169.5,203.6
228.31,0.8,4170.1,203.6
228.81,0.8,4170.1,203.6
229.31,2.2,4170.1,203.6
229.81,2.3,4170.1,203.6
230.31,0.8,4170.1,203.6
230.81,0.8,4170.1,203.6
231.31,1.1,4170.1,203.6
231.81,0.8,4170.1,203.6
232.32,0.9,4170.1,203.6
232.82,0.8,4170.1,203.6
233.32,0.8,4170.1,203.6
233.82,0.8,4170.1,203.6
234.32,1.4,4170.1,203.6
234.82,1.4,4170.1,203.6
235.32,0.8,4170.1,203.6
235.82,0.9,4170.1,203.6
236.32,2.0,4170.1,203.6
236.82,0.8,4170.1,203.6
237.32,0.8,4170.1,203.6
237.82,0.8,4170.1,203.6
238.32,0.8,4170.1,203.6
238.82,0.8,4170.1,203.6
239.33,2.2,4170.9,203.7
239.83,1.9,4170.9,203.7
240.33,0.9,4170.9,203.7
240.83,0.8,4170.9,203.7
241.33,1.9,4170.9,203.7
241.83,0.8,4170.7,203.6
242.33,0.9,4170.8,203.7
242.83,0.8,4170.8,203.7
243.33,0.8,4170.8,203.7
243.83,0.8,4170.8,203.7
244.33,2.1,4170.8,203.7
244.83,2.0,4170.8,203.7
245.33,0.8,4170.7,203.6
245.83,0.8,4170.8,203.7
246.33,2.0,4170.8,203.7
246.84,0.8,4170.8,203.7
247.34,0.8,4170.8,203.7
247.84,0.8,4170.9,203.7
248.34,0.8,4170.9,203.7
248.84,0.9,4171.5,203.7
249.34,1.9,4171.5,203.7
249.84,1.9,4171.5,203.7
250.34,0.8,4171.5,203.7
250.84,0.8,4171.5,203.7
251.34,1.5,4171.5,203.7
251.84,0.8,4171.8,203.7
252.34,0.9,4171.5,203.7
252.84,0.8,4171.5,203.7
253.34,0.8,4171.5,203.7
253.85,0.8,4171.5,203.7
